target_name,target_type,source_id,source_type,title,url_or_path,language,date,source_tier,tags,notes
Boston Consulting Group,consulting_company,src_0032,web,Organizational Design as a Lever for Grand Challenges – SMS,https://www.strategicmanagement.net/event/organizational-design-as-a-lever-for-grand-challenges/,en,,third_party,video;video_transcript,Hosted by the SMS Competitive Strategy Interest Group. This webinar brings together leading scholars and a practitioner voice to spark a conversation about ...
Boston Consulting Group,consulting_company,src_0033,web,Webinars - Organizational Design Community,https://orgdesigncomm.com/Webinars,en,,third_party,video;video_transcript,ODC is actively working toward sharing contemporary and relevant knowledge in the field of Organization Design. The webinar series is one of the mediums for ...
Boston Consulting Group,consulting_company,src_0034,web,The Power of Distributed Organization Design,https://www.bcg.com/capabilities/organization/power-distributed-organization-design,en,,third_party,video;video_transcript,"The Power of Distributed Organization Design # The Power of Distributed Organization Design Organizations are facing intense pressure to remain agile and adapt to new priorities, working models, and trends. For some companies, this means transforming their operating model, moving to a platform organization, or adopting a more agile stance with functional experts deployed to multidisciplinary teams. For others, it could mean integrating an acquisition, spinning off a subsidiary, creating a shared"
Boston Consulting Group,consulting_company,src_0035,web,Leadership Development Consulting and Strategy | BCG,https://www.bcg.com/capabilities/people-strategy/leadership-development,en,,third_party,video;video_transcript,"Leadership Development Consulting and Strategy | BCG # Leadership Development Many efforts to develop leaders fail to deliver results. Yet the need for transformational leadership at all levels has never been more critical. Companies around the world spend billions each year on leadership training—workshops, webinars, certificates, and the like—and much of that money is wasted. That’s because most leadership development training happens in a vacuum. Employees attend a one-off session, return to "
Boston Consulting Group,consulting_company,src_0036,web,BCG U: Unlocking leadership with executive coaching - LinkedIn,https://www.linkedin.com/posts/kim-underhill-2a574310_bcg-executive-coaching-kim-underhill-activity-7303505945739821059-41AX,en,,third_party,video;video_transcript,"BCG U's executive coaching program helps leaders navigate uncertainty, trust their instincts, and drive meaningful change."
Boston Consulting Group,consulting_company,src_0037,web,Jim Hemerling - Boston Consulting Group,https://www.bcg.com/about/people/experts/jim-hemerling,en,,third_party,video;video_transcript,Here is how Generative Leadership principles can empower public sector teams to address the key challenges in today's disruptive times.
Boston Consulting Group,consulting_company,src_0038,web,BCG Leadership,https://www.bcg.com/about/people-culture/leadership,en,,third_party,video;video_transcript,"Executive Committee ; Christoph Schweizer. Chief Executive Officer. Munich ; Dylan Bolden. Managing Director & Senior Partner; Chair, Functional Practices. Dallas."
Boston Consulting Group,consulting_company,src_0039,web,"TED@BCG: Great leadership is a network, not a hierarchy - LinkedIn",https://www.linkedin.com/posts/boston-consulting-group_tedbcg-great-leadership-is-a-network-not-activity-7000125703954255872-m2iz,en,,third_party,video;video_transcript,"A typical view of leadership is a hierarchical organization chart. Either you're a leader, or you're not. Most people are being led not taking ..."
Boston Consulting Group,consulting_company,src_0040,video,How to Invest – The BCG Matrix,https://www.youtube.com/watch?v=sNAUWpk_yvs,en,,third_party,video;video_transcript,YouTube video candidate discovered by yt-dlp search.
Boston Consulting Group,consulting_company,src_0041,video,Meet Jordan: Partner at BCG X,https://www.youtube.com/watch?v=1GXbS1MENI4,en,,third_party,video;video_transcript,YouTube video candidate discovered by yt-dlp search.
Boston Consulting Group,consulting_company,src_0042,video,How BCG Is Rewriting Its Talent Playbook in the Age of AI | The So What from BCG,https://www.youtube.com/watch?v=nR_UziEKJco,en,,third_party,video;video_transcript,YouTube video candidate discovered by yt-dlp search.
Boston Consulting Group,consulting_company,src_0043,video,A Day in the Life of a Manager at BCG Vantage,https://www.youtube.com/watch?v=dXEQDw9TOxI,en,,third_party,video;video_transcript,YouTube video candidate discovered by yt-dlp search.
Boston Consulting Group,consulting_company,src_0044,video,6 Reasons Working for BCG is Amazing and 4 Reasons It’s Not,https://www.youtube.com/watch?v=7-lYER1OGQA,en,,third_party,video;video_transcript,YouTube video candidate discovered by yt-dlp search.
Boston Consulting Group,consulting_company,src_0045,video,BCG Matrix (With Real World Examples) | From A Business Professor,https://www.youtube.com/watch?v=yulWLHRdNVQ,en,,third_party,video;video_transcript,YouTube video candidate discovered by yt-dlp search.
Boston Consulting Group,consulting_company,src_0046,video,Boston Consulting Group Matrix,https://www.youtube.com/watch?v=-coFLARNC-w,en,,third_party,video;video_transcript,YouTube video candidate discovered by yt-dlp search.
Boston Consulting Group,consulting_company,src_0047,video,The Value of Software Analytics in IT Transformation Programs - The Boston Consulting Group,https://www.youtube.com/watch?v=4B0rks2FUX4,en,,third_party,video;video_transcript,YouTube video candidate discovered by yt-dlp search.
Boston Consulting Group,consulting_company,src_0048,video,BCG's 20 years in India - Video Made by The Visual House,https://www.youtube.com/watch?v=evLCJdYt1tw,en,,third_party,video;video_transcript,YouTube video candidate discovered by yt-dlp search.
Boston Consulting Group,consulting_company,src_0049,video,The Boston Consulting Group BCG Matrix Explained,https://www.youtube.com/watch?v=TBb5buB8auc,en,,third_party,video;video_transcript,YouTube video candidate discovered by yt-dlp search.
Boston Consulting Group,consulting_company,src_0050,web,Boston Consulting Group Interview Questions,https://www.interviewquery.com/interview-guides/boston-consulting-group,en,2025,third_party,video;video_transcript,"The Boston Consulting Group (BCG) stands at the forefront of strategic consulting , renowned for spearheading the future of global business. Its 2025 Value Creators report showcased an unmatched analytical depth, surveying 2,345 companies across 35 industries."
Boston Consulting Group,consulting_company,src_0051,web,Boston Consulting Group Interview Experience & Questions (2026),https://www.glassdoor.com/Interview/Boston-Consulting-Group-Interview-Questions-E3879.htm,en,2026,third_party,video;video_transcript,"What candidates say about interviewing at Boston Consulting Group Interview process & format — The typical hiring process consists of multiple stages, including online assessments, case interviews , and behavioral interviews , varying by position."
Boston Consulting Group,consulting_company,src_0052,web,Consulting Interview Process | BCG Careers,https://careers.bcg.com/global/en/interview-process,en,,third_party,video;video_transcript,"Preparing to interview at BCG? Consider our interview process an opportunity to find a good fit between you, the role, and our company culture. Learn more."
Boston Consulting Group,consulting_company,src_0053,web,BCG (Boston Consulting Group) Interview Process & Timeline - IGotAnOffer,https://igotanoffer.com/en/advice/bcg-interview-process,en,,third_party,video;video_transcript,"Complete guide to the 4 steps of BCG's interview process to help you prepare, including what to expect in each step, from screenings to full interview loops, all the way up to offer negotiation."
Boston Consulting Group,consulting_company,src_0054,web,BCG Interview Questions & Case Interview Prep (2026) | Revarta,https://www.revarta.com/interview/companies/bcg,en,2026,third_party,video;video_transcript,"Boston Consulting Group is one of the ""Big Three"" management consulting firms, renowned for its intellectual rigor and innovative approach to strategy consulting . BCG's interview process combines challenging case interviews with behavioral fit assessments, evaluating candidates on analytical thinking, creativity, and interpersonal skills."
Boston Consulting Group,consulting_company,src_0055,web,Becoming a Total Rewards Thought Partner - Luma,https://luma.com/tfb0la0z,en,,third_party,video;video_transcript,"🎉 Join us for an insightful TSOW Community webinar featuring Arshiya Singh, Director Global Compensation, Boston Consulting Group (BCG) 💡 Topic: Becoming a Total Rewards Thought Partner 🗓️ Date: Tuesday, October 21 🕐 Time: 3:00 PM IST Key discussion points ️Understanding total rewards beyond compensation ⚡Aligning your work with organizational strategy and business outcomes ..."
